<NUMBER OF ZONES> 3061										
<NUMBER OF NODES> 55559											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 57002											
<END OF METADATA>


Init node	Term node		Length	Free Flow Time	B	Power	Speed limit	Toll	Type	Cost
14	34958	99999	0.7142	0.027469231	0.15	4	26	0	1	0
14	34961	99999	0.47745	0.018363462	0.15	4	26	0	1	0
15	29321	99999	1.25204	0.048155385	0.15	4	26	0	1	0
15	29436	99999	1.32537	0.050975769	0.15	4	26	0	1	0
15	34330	99999	0.79911	0.030735	0.15	4	26	0	1	0
16	29320	99999	0.50224	0.019316923	0.15	4	26	0	1	0
16	34676	99999	0.7449	0.02865	0.15	4	26	0	1	0
17	34684	99999	0.8094	0.031130769	0.15	4	26	0	1	0
17	34688	99999	1.24932	0.048050769	0.15	4	26	0	1	0
17	34954	99999	1.37496	0.052883077	0.15	4	26	0	1	0
18	34687	99999	0.61419	0.023622692	0.15	4	26	0	1	0
18	34975	99999	1.13796	0.043767692	0.15	4	26	0	1	0
19	34672	99999	0.11772	0.004527692	0.15	4	26	0	1	0
20	25137	99999	0.77513	0.029812692	0.15	4	26	0	1	0
20	34669	99999	1.00705	0.038732692	0.15	4	26	0	1	0
21	29302	99999	1.15997	0.044614231	0.15	4	26	0	1	0
21	29303	99999	0.89104	0.034270769	0.15	4	26	0	1	0
22	29302	99999	0.67171	0.025835	0.15	4	26	0	1	0
23	40413	99999	0.33913	0.013043462	0.15	4	26	0	1	0
24	29416	99999	0.31921	0.012277308	0.15	4	26	0	1	0
24	29420	99999	0.95574	0.036759231	0.15	4	26	0	1	0
25	29412	99999	0.66367	0.025525769	0.15	4	26	0	1	0
25	29421	99999	0.59362	0.022831538	0.15	4	26	0	1	0
26	28280	99999	0.43207	0.016618077	0.15	4	26	0	1	0
26	29414	99999	0.91919	0.035353462	0.15	4	26	0	1	0
27	40414	99999	0.20557	0.007906538	0.15	4	26	0	1	0
28	29263	99999	0.32968	0.01268	0.15	4	26	0	1	0
29	28276	99999	0.43577	0.016760385	0.15	4	26	0	1	0
30	28276	99999	0.78358	0.030137692	0.15	4	26	0	1	0
30	28283	99999	0.61384	0.023609231	0.15	4	26	0	1	0
30	29380	99999	1.61366	0.062063846	0.15	4	26	0	1	0
31	29396	99999	0.50661	0.019485	0.15	4	26	0	1	0
31	29399	99999	1.30641	0.050246538	0.15	4	26	0	1	0
32	29345	99999	1.20345	0.046286538	0.15	4	26	0	1	0
32	29348	99999	0.82011	0.031542692	0.15	4	26	0	1	0
32	50151	99999	0.30561	0.011754231	0.15	4	26	0	1	0
33	28284	99999	0.95322	0.036662308	0.15	4	26	0	1	0
33	28989	99999	1.24487	0.047879615	0.15	4	26	0	1	0
34	28282	99999	1.29252	0.049712308	0.15	4	26	0	1	0
34	29006	99999	1.63887	0.063033462	0.15	4	26	0	1	0
34	29392	99999	1.65022	0.06347	0.15	4	26	0	1	0
35	28684	99999	1.18605	0.045617308	0.15	4	26	0	1	0
35	29263	99999	1.41252	0.054327692	0.15	4	26	0	1	0
35	29265	99999	1.05511	0.040581154	0.15	4	26	0	1	0
36	28675	99999	0.68171	0.026219615	0.15	4	26	0	1	0
36	28992	99999	0.90465	0.034794231	0.15	4	26	0	1	0
36	28993	99999	0.77324	0.02974	0.15	4	26	0	1	0
37	28991	99999	0.64629	0.024857308	0.15	4	26	0	1	0
37	54629	99999	0.89616	0.034467692	0.15	4	26	0	1	0
37	54630	99999	1.05089	0.040418846	0.15	4	26	0	1	0
38	40485	99999	0.24564	0.009447692	0.15	4	26	0	1	0
39	28675	99999	0.51151	0.019673462	0.15	4	26	0	1	0
39	28945	99999	0.55119	0.021199615	0.15	4	26	0	1	0
40	40416	99999	0.66056	0.025406154	0.15	4	26	0	1	0
41	40415	99999	0.30898	0.011883846	0.15	4	26	0	1	0
42	28944	99999	0.87964	0.033832308	0.15	4	26	0	1	0
42	28945	99999	0.29875	0.011490385	0.15	4	26	0	1	0
43	28951	99999	0.70624	0.027163077	0.15	4	26	0	1	0
44	28954	99999	0.47402	0.018231538	0.15	4	26	0	1	0
45	28954	99999	0.57268	0.022026154	0.15	4	26	0	1	0
45	28977	99999	0.30657	0.011791154	0.15	4	26	0	1	0
46	28690	99999	1.06069	0.040795769	0.15	4	26	0	1	0
46	28974	99999	0.49412	0.019004615	0.15	4	26	0	1	0
47	29249	99999	0.42422	0.016316154	0.15	4	26	0	1	0
48	29249	99999	0.35723	0.013739615	0.15	4	26	0	1	0
49	40420	99999	0.40517	0.015583462	0.15	4	26	0	1	0
50	29243	99999	0.54465	0.020948077	0.15	4	26	0	1	0
50	29246	99999	0.48607	0.018695	0.15	4	26	0	1	0
51	40418	99999	0.45753	0.017597308	0.15	4	26	0	1	0
51	40419	99999	0.4439	0.017073077	0.15	4	26	0	1	0
52	40418	99999	0.51835	0.019936538	0.15	4	26	0	1	0
53	29253	99999	0.36486	0.014033077	0.15	4	26	0	1	0
54	29231	99999	0.20427	0.007856538	0.15	4	26	0	1	0
54	29257	99999	0.52024	0.020009231	0.15	4	26	0	1	0
55	29229	99999	0.47339	0.018207308	0.15	4	26	0	1	0
56	29237	99999	0.45077	0.017337308	0.15	4	26	0	1	0
57	29239	99999	0.40114	0.015428462	0.15	4	26	0	1	0
57	29241	99999	0.56053	0.021558846	0.15	4	26	0	1	0
58	40428	99999	0.47984	0.018455385	0.15	4	26	0	1	0
59	28972	99999	0.1815	0.006980769	0.15	4	26	0	1	0
60	28967	99999	0.43663	0.016793462	0.15	4	26	0	1	0
60	40429	99999	0.3699	0.014226923	0.15	4	26	0	1	0
61	28949	99999	0.29588	0.01138	0.15	4	26	0	1	0
62	28668	99999	0.60006	0.023079231	0.15	4	26	0	1	0
62	40740	99999	0.29662	0.011408462	0.15	4	26	0	1	0
63	28972	99999	0.24225	0.009317308	0.15	4	26	0	1	0
64	29239	99999	0.42044	0.016170769	0.15	4	26	0	1	0
64	40741	99999	0.37684	0.014493846	0.15	4	26	0	1	0
65	4104	99999	0.51376	0.01976	0.15	4	26	0	1	0
65	40741	99999	0.23966	0.009217692	0.15	4	26	0	1	0
66	40431	99999	0.24157	0.009291154	0.15	4	26	0	1	0
67	19844	99999	0.22685	0.008725	0.15	4	26	0	1	0
68	50738	99999	0.1066	0.0041	0.15	4	26	0	1	0
69	4778	99999	0.32791	0.012611923	0.15	4	26	0	1	0
69	4807	99999	0.43554	0.016751538	0.15	4	26	0	1	0
70	29126	99999	0.13162	0.005062308	0.15	4	26	0	1	0
71	28680	99999	0.38005	0.014617308	0.15	4	26	0	1	0
72	29256	99999	0.31563	0.012139615	0.15	4	26	0	1	0
73	28680	99999	0.34382	0.013223846	0.15	4	26	0	1	0
74	29270	99999	0.3842	0.014776923	0.15	4	26	0	1	0
75	40417	99999	0.50677	0.019491154	0.15	4	26	0	1	0
76	40421	99999	0.4827	0.018565385	0.15	4	26	0	1	0
77	29224	99999	0.45396	0.01746	0.15	4	26	0	1	0
78	29305	99999	0.37497	0.014421923	0.15	4	26	0	1	0
79	29223	99999	0.68468	0.026333846	0.15	4	26	0	1	0
79	29308	99999	0.26013	0.010005	0.15	4	26	0	1	0
80	29272	99999	0.60599	0.023307308	0.15	4	26	0	1	0
80	29279	99999	0.17663	0.006793462	0.15	4	26	0	1	0
81	40423	99999	0.28522	0.01097	0.15	4	26	0	1	0
82	29272	99999	1.00372	0.038604615	0.15	4	26	0	1	0
82	40422	99999	0.71873	0.027643462	0.15	4	26	0	1	0
83	29207	99999	0.56966	0.02191	0.15	4	26	0	1	0
83	29295	99999	0.60566	0.023294615	0.15	4	26	0	1	0
83	29296	99999	0.43996	0.016921538	0.15	4	26	0	1	0
84	25172	99999	0.96243	0.037016538	0.15	4	26	0	1	0
85	25172	99999	0.5213	0.02005	0.15	4	26	0	1	0
86	25137	99999	0.80564	0.030986154	0.15	4	26	0	1	0
86	29223	99999	0.79664	0.03064	0.15	4	26	0	1	0
87	40424	99999	1.22299	0.047038077	0.15	4	26	0	1	0
88	40425	99999	0.75295	0.028959615	0.15	4	26	0	1	0
89	40426	99999	0.49854	0.019174615	0.15	4	26	0	1	0
90	40427	99999	0.65033	0.025012692	0.15	4	26	0	1	0
91	40427	99999	0.58639	0.022553462	0.15	4	26	0	1	0
92	34663	99999	0.31112	0.011966154	0.15	4	26	0	1	0
92	34668	99999	0.47589	0.018303462	0.15	4	26	0	1	0
93	34647	99999	0.38268	0.014718462	0.15	4	26	0	1	0
93	40426	99999	0.45766	0.017602308	0.15	4	26	0	1	0
94	34662	99999	0.48312	0.018581538	0.15	4	26	0	1	0
94	34663	99999	0.68159	0.026215	0.15	4	26	0	1	0
95	34649	99999	0.71176	0.027375385	0.15	4	26	0	1	0
95	40444	99999	0.57216	0.022006154	0.15	4	26	0	1	0
96	34653	99999	0.37036	0.014244615	0.15	4	26	0	1	0
97	40432	99999	0.26442	0.01017	0.15	4	26	0	1	0
98	5118	99999	0.45998	0.017691538	0.15	4	26	0	1	0
98	40432	99999	0.4719	0.01815	0.15	4	26	0	1	0
99	5236	99999	0.40041	0.015400385	0.15	4	26	0	1	0
99	29169	99999	0.55124	0.021201538	0.15	4	26	0	1	0
100	29210	99999	0.38174	0.014682308	0.15	4	26	0	1	0
101	29209	99999	0.25214	0.009697692	0.15	4	26	0	1	0
101	34449	99999	0.38076	0.014644615	0.15	4	26	0	1	0
101	34453	99999	0.44408	0.01708	0.15	4	26	0	1	0
102	34458	99999	0.27173	0.010451154	0.15	4	26	0	1	0
102	34466	99999	0.48716	0.018736923	0.15	4	26	0	1	0
103	34463	99999	0.12475	0.004798077	0.15	4	26	0	1	0
104	25150	99999	0.24748	0.009518462	0.15	4	26	0	1	0
105	25177	99999	0.46241	0.017785	0.15	4	26	0	1	0
105	34653	99999	0.61553	0.023674231	0.15	4	26	0	1	0
106	40444	99999	0.22662	0.008716154	0.15	4	26	0	1	0
107	34360	99999	0.32763	0.012601154	0.15	4	26	0	1	0
107	34659	99999	0.49018	0.018853077	0.15	4	26	0	1	0
108	34660	99999	0.34856	0.013406154	0.15	4	26	0	1	0
108	40443	99999	0.48235	0.018551923	0.15	4	26	0	1	0
109	40443	99999	0.47249	0.018172692	0.15	4	26	0	1	0
110	34437	99999	0.52249	0.020095769	0.15	4	26	0	1	0
110	34442	99999	1.02257	0.039329615	0.15	4	26	0	1	0
111	34575	99999	0.29315	0.011275	0.15	4	26	0	1	0
111	34592	99999	0.25313	0.009735769	0.15	4	26	0	1	0
112	34364	99999	0.82167	0.031602692	0.15	4	26	0	1	0
112	34575	99999	0.58452	0.022481538	0.15	4	26	0	1	0
112	34639	99999	0.69681	0.026800385	0.15	4	26	0	1	0
113	34636	99999	0.73283	0.028185769	0.15	4	26	0	1	0
113	34639	99999	0.62137	0.023898846	0.15	4	26	0	1	0
113	34696	99999	0.89968	0.034603077	0.15	4	26	0	1	0
114	34666	99999	0.77555	0.029828846	0.15	4	26	0	1	0
114	34698	99999	0.37748	0.014518462	0.15	4	26	0	1	0
115	34630	99999	0.85114	0.032736154	0.15	4	26	0	1	0
115	34632	99999	0.78118	0.030045385	0.15	4	26	0	1	0
116	34718	99999	0.26585	0.010225	0.15	4	26	0	1	0
117	34728	99999	0.70625	0.027163462	0.15	4	26	0	1	0
118	34378	99999	0.85208	0.032772308	0.15	4	26	0	1	0
118	34391	99999	1.07701	0.041423462	0.15	4	26	0	1	0
119	34693	99999	0.7147	0.027488462	0.15	4	26	0	1	0
119	34701	99999	0.82595	0.031767308	0.15	4	26	0	1	0
120	34367	99999	0.52657	0.020252692	0.15	4	26	0	1	0
121	34364	99999	0.63766	0.024525385	0.15	4	26	0	1	0
121	34695	99999	0.85755	0.032982692	0.15	4	26	0	1	0
122	34625	99999	0.49617	0.019083462	0.15	4	26	0	1	0
123	34368	99999	0.89328	0.034356923	0.15	4	26	0	1	0
124	34368	99999	0.38567	0.014833462	0.15	4	26	0	1	0
124	34885	99999	0.80342	0.030900769	0.15	4	26	0	1	0
125	34704	99999	0.18806	0.007233077	0.15	4	26	0	1	0
126	34388	99999	0.90079	0.034645769	0.15	4	26	0	1	0
126	34707	99999	0.79204	0.030463077	0.15	4	26	0	1	0
126	34877	99999	0.50357	0.019368077	0.15	4	26	0	1	0
127	34899	99999	0.90087	0.034648846	0.15	4	26	0	1	0
128	34877	99999	0.75019	0.028853462	0.15	4	26	0	1	0
128	34895	99999	0.92995	0.035767308	0.15	4	26	0	1	0
129	34884	99999	0.49739	0.019130385	0.15	4	26	0	1	0
129	34887	99999	0.51331	0.019742692	0.15	4	26	0	1	0
130	34875	99999	0.39883	0.015339615	0.15	4	26	0	1	0
131	34725	99999	1.50856	0.058021538	0.15	4	26	0	1	0
132	40484	99999	0.55391	0.021304231	0.15	4	26	0	1	0
133	34394	99999	0.58403	0.022462692	0.15	4	26	0	1	0
134	34723	99999	0.45823	0.017624231	0.15	4	26	0	1	0
135	34716	99999	0.26143	0.010055	0.15	4	26	0	1	0
136	34310	99999	0.86626	0.033317692	0.15	4	26	0	1	0
136	54779	99999	1.27534	0.049051538	0.15	4	26	0	1	0
137	34942	99999	0.49791	0.019150385	0.15	4	26	0	1	0
137	34973	99999	0.71641	0.027554231	0.15	4	26	0	1	0
137	35003	99999	0.50122	0.019277692	0.15	4	26	0	1	0
138	34310	99999	1.08835	0.041859615	0.15	4	26	0	1	0
138	34326	99999	1.15217	0.044314231	0.15	4	26	0	1	0
138	34923	99999	1.91351	0.073596538	0.15	4	26	0	1	0
139	34327	99999	1.12088	0.043110769	0.15	4	26	0	1	0
139	34734	99999	1.42448	0.054787692	0.15	4	26	0	1	0
140	35007	99999	1.41437	0.054398846	0.15	4	26	0	1	0
140	35159	99999	0.74606	0.028694615	0.15	4	26	0	1	0
141	34996	99999	0.75488	0.029033846	0.15	4	26	0	1	0
141	35005	99999	1.21825	0.046855769	0.15	4	26	0	1	0
141	54636	99999	0.61771	0.023758077	0.15	4	26	0	1	0
142	34941	99999	0.99176	0.038144615	0.15	4	26	0	1	0
142	34996	99999	0.77831	0.029935	0.15	4	26	0	1	0
143	40366	99999	0.65918	0.025353077	0.15	4	26	0	1	0
144	34928	99999	1.07747	0.041441154	0.15	4	26	0	1	0
144	35012	99999	1.64441	0.063246538	0.15	4	26	0	1	0
145	35152	99999	1.32608	0.051003077	0.15	4	26	0	1	0
145	35189	99999	0.9184	0.035323077	0.15	4	26	0	1	0
146	34324	99999	0.30571	0.011758077	0.15	4	26	0	1	0
146	35191	99999	2.14757	0.082598846	0.15	4	26	0	1	0
147	35193	99999	2.00964	0.077293846	0.15	4	26	0	1	0
147	40339	99999	1.21291	0.046650385	0.15	4	26	0	1	0
148	35180	99999	0.37134	0.014282308	0.15	4	26	0	1	0
148	35194	99999	0.14803	0.005693462	0.15	4	26	0	1	0
149	35153	99999	1.28281	0.049338846	0.15	4	26	0	1	0
149	35181	99999	1.4656	0.056369231	0.15	4	26	0	1	0
150	40339	99999	1.36336	0.052436923	0.15	4	26	0	1	0
151	34352	99999	1.69948	0.065364615	0.15	4	26	0	1	0
151	34906	99999	2.53266	0.09741	0.15	4	26	0	1	0
152	34910	99999	1.54942	0.059593077	0.15	4	26	0	1	0
153	34335	99999	0.77934	0.029974615	0.15	4	26	0	1	0
153	34918	99999	0.98155	0.037751923	0.15	4	26	0	1	0
153	35408	99999	1.32772	0.051066154	0.15	4	26	0	1	0
154	35427	99999	0.41746	0.016056154	0.15	4	26	0	1	0
155	35432	99999	0.21298	0.008191538	0.15	4	26	0	1	0
156	35422	99999	0.50854	0.019559231	0.15	4	26	0	1	0
156	35425	99999	0.38027	0.014625769	0.15	4	26	0	1	0
157	35420	99999	0.23695	0.009113462	0.15	4	26	0	1	0
158	40452	99999	1.4095	0.054211538	0.15	4	26	0	1	0
159	34912	99999	2.40325	0.092432692	0.15	4	26	0	1	0
160	34323	99999	0.5838	0.022453846	0.15	4	26	0	1	0
161	35313	99999	0.3417	0.013142308	0.15	4	26	0	1	0
162	35316	99999	0.27987	0.010764231	0.15	4	26	0	1	0
163	35263	99999	0.28667	0.011025769	0.15	4	26	0	1	0
164	10013	99999	1.18354	0.045520769	0.15	4	26	0	1	0
164	40455	99999	0.16533	0.006358846	0.15	4	26	0	1	0
165	40454	99999	0.81478	0.031337692	0.15	4	26	0	1	0
165	54577	99999	0.52646	0.020248462	0.15	4	26	0	1	0
166	34799	99999	1.02853	0.039558846	0.15	4	26	0	1	0
166	40454	99999	0.84044	0.032324615	0.15	4	26	0	1	0
167	40453	99999	1.3092	0.050353846	0.15	4	26	0	1	0
168	34745	99999	0.60031	0.023088846	0.15	4	26	0	1	0
169	34850	99999	0.72308	0.027810769	0.15	4	26	0	1	0
170	9007	99999	0.69254	0.026636154	0.15	4	26	0	1	0
171	34755	99999	0.43288	0.016649231	0.15	4	26	0	1	0
172	34763	99999	0.35545	0.013671154	0.15	4	26	0	1	0
173	34762	99999	0.29772	0.011450769	0.15	4	26	0	1	0
174	8628	99999	0.556	0.021384615	0.15	4	26	0	1	0
174	34762	99999	0.27777	0.010683462	0.15	4	26	0	1	0
175	8628	99999	0.39472	0.015181538	0.15	4	26	0	1	0
175	8759	99999	0.36835	0.014167308	0.15	4	26	0	1	0
176	8759	99999	0.45838	0.01763	0.15	4	26	0	1	0
176	34755	99999	0.23115	0.008890385	0.15	4	26	0	1	0
177	8897	99999	0.42668	0.016410769	0.15	4	26	0	1	0
177	9038	99999	0.47526	0.018279231	0.15	4	26	0	1	0
178	9038	99999	0.59036	0.022706154	0.15	4	26	0	1	0
178	34745	99999	0.42135	0.016205769	0.15	4	26	0	1	0
179	34796	99999	0.36538	0.014053077	0.15	4	26	0	1	0
180	9511	99999	0.4191	0.016119231	0.15	4	26	0	1	0
181	34860	99999	0.42034	0.016166923	0.15	4	26	0	1	0
181	34862	99999	0.42899	0.016499615	0.15	4	26	0	1	0
181	54218	99999	0.43416	0.016698462	0.15	4	26	0	1	0
182	34793	99999	0.63909	0.024580385	0.15	4	26	0	1	0
182	34860	99999	0.49106	0.018886923	0.15	4	26	0	1	0
183	40451	99999	0.508	0.019538462	0.15	4	26	0	1	0
184	34770	99999	0.59699	0.022961154	0.15	4	26	0	1	0
184	34772	99999	0.59074	0.022720769	0.15	4	26	0	1	0
185	34624	99999	1.41413	0.054389615	0.15	4	26	0	1	0
185	40450	99999	0.5439	0.020919231	0.15	4	26	0	1	0
186	34577	99999	0.41989	0.016149615	0.15	4	26	0	1	0
186	34624	99999	0.4088	0.015723077	0.15	4	26	0	1	0
187	34577	99999	0.80258	0.030868462	0.15	4	26	0	1	0
187	34579	99999	0.24312	0.009350769	0.15	4	26	0	1	0
188	18908	99999	0.59975	0.023067308	0.15	4	26	0	1	0
188	34581	99999	0.60308	0.023195385	0.15	4	26	0	1	0
189	40445	99999	0.45062	0.017331538	0.15	4	26	0	1	0
190	34566	99999	0.30372	0.011681538	0.15	4	26	0	1	0
191	54580	99999	0.2967	0.011411538	0.15	4	26	0	1	0
192	34568	99999	0.28089	0.010803462	0.15	4	26	0	1	0
193	34770	99999	0.69632	0.026781538	0.15	4	26	0	1	0
193	34781	99999	0.5146	0.019792308	0.15	4	26	0	1	0
194	34594	99999	0.97757	0.037598846	0.15	4	26	0	1	0
194	34770	99999	1.17586	0.045225385	0.15	4	26	0	1	0
195	34594	99999	0.51885	0.019955769	0.15	4	26	0	1	0
195	34621	99999	0.4894	0.018823077	0.15	4	26	0	1	0
195	54591	99999	0.42267	0.016256538	0.15	4	26	0	1	0
196	34599	99999	0.21686	0.008340769	0.15	4	26	0	1	0
196	54588	99999	0.55531	0.021358077	0.15	4	26	0	1	0
197	34376	99999	0.85323	0.032816538	0.15	4	26	0	1	0
197	34779	99999	1.25787	0.048379615	0.15	4	26	0	1	0
198	40511	99999	0.56143	0.021593462	0.15	4	26	0	1	0
199	34375	99999	0.36177	0.013914231	0.15	4	26	0	1	0
199	34543	99999	0.36674	0.014105385	0.15	4	26	0	1	0
200	34376	99999	0.68628	0.026395385	0.15	4	26	0	1	0
200	34501	99999	0.65323	0.025124231	0.15	4	26	0	1	0
200	34544	99999	0.52605	0.020232692	0.15	4	26	0	1	0
201	34528	99999	0.56321	0.021661923	0.15	4	26	0	1	0
201	34545	99999	0.19166	0.007371538	0.15	4	26	0	1	0
202	40449	99999	0.50315	0.019351923	0.15	4	26	0	1	0
203	34521	99999	0.18725	0.007201923	0.15	4	26	0	1	0
204	34399	99999	0.38188	0.014687692	0.15	4	26	0	1	0
205	34399	99999	0.63765	0.024525	0.15	4	26	0	1	0
205	40447	99999	0.27102	0.010423846	0.15	4	26	0	1	0
206	40446	99999	0.60847	0.023402692	0.15	4	26	0	1	0
207	40445	99999	0.49439	0.019015	0.15	4	26	0	1	0
207	50474	99999	0.02932	0.001127692	0.15	4	26	0	1	0
208	7070	99999	0.25775	0.009913462	0.15	4	26	0	1	0
208	7271	99999	0.5491	0.021119231	0.15	4	26	0	1	0
209	34477	99999	0.38857	0.014945	0.15	4	26	0	1	0
210	6888	99999	0.67264	0.025870769	0.15	4	26	0	1	0
210	18908	99999	0.32046	0.012325385	0.15	4	26	0	1	0
211	34434	99999	0.46895	0.018036538	0.15	4	26	0	1	0
211	40448	99999	0.47454	0.018251538	0.15	4	26	0	1	0
212	40503	99999	0.22646	0.00871	0.15	4	26	0	1	0
213	34407	99999	0.3594	0.013823077	0.15	4	26	0	1	0
214	34407	99999	0.05995	0.002305769	0.15	4	26	0	1	0
215	6423	99999	0.73861	0.028408077	0.15	4	26	0	1	0
215	34469	99999	0.35251	0.013558077	0.15	4	26	0	1	0
216	6423	99999	0.3278	0.012607692	0.15	4	26	0	1	0
216	34475	99999	0.41418	0.01593	0.15	4	26	0	1	0
217	34439	99999	0.25776	0.009913846	0.15	4	26	0	1	0
217	34478	99999	0.35059	0.013484231	0.15	4	26	0	1	0
218	40441	99999	0.24423	0.009393462	0.15	4	26	0	1	0
219	40441	99999	0.28701	0.011038846	0.15	4	26	0	1	0
219	40442	99999	0.25908	0.009964615	0.15	4	26	0	1	0
220	40442	99999	0.32909	0.012657308	0.15	4	26	0	1	0
221	40505	99999	0.19149	0.007365	0.15	4	26	0	1	0
222	40506	99999	0.04846	0.001863846	0.15	4	26	0	1	0
223	25171	99999	0.39105	0.015040385	0.15	4	26	0	1	0
224	5597	99999	0.35547	0.013671923	0.15	4	26	0	1	0
224	5694	99999	0.25108	0.009656923	0.15	4	26	0	1	0
225	5439	99999	0.18755	0.007213462	0.15	4	26	0	1	0
225	5597	99999	0.51931	0.019973462	0.15	4	26	0	1	0
226	40440	99999	0.2132	0.0082	0.15	4	26	0	1	0
227	40433	99999	0.25094	0.009651538	0.15	4	26	0	1	0
228	40434	99999	0.27391	0.010535	0.15	4	26	0	1	0
229	40435	99999	0.07534	0.002897692	0.15	4	26	0	1	0
230	40437	99999	0.24093	0.009266538	0.15	4	26	0	1	0
231	40433	99999	0.45308	0.017426154	0.15	4	26	0	1	0
231	40436	99999	0.18735	0.007205769	0.15	4	26	0	1	0
232	40438	99999	0.31499	0.012115	0.15	4	26	0	1	0
233	29202	99999	0.23353	0.008981923	0.15	4	26	0	1	0
233	40439	99999	0.22747	0.008748846	0.15	4	26	0	1	0
234	40439	99999	0.21697	0.008345	0.15	4	26	0	1	0
235	29198	99999	0.40181	0.015454231	0.15	4	26	0	1	0
235	29205	99999	0.4565	0.017557692	0.15	4	26	0	1	0
236	5694	99999	0.44441	0.017092692	0.15	4	26	0	1	0
236	5807	99999	0.50829	0.019549615	0.15	4	26	0	1	0
237	5697	99999	0.31938	0.012283846	0.15	4	26	0	1	0
238	5697	99999	0.4496	0.017292308	0.15	4	26	0	1	0
239	40504	99999	0.18495	0.007113462	0.15	4	26	0	1	0
240	5848	99999	0.96654	0.037174615	0.15	4	26	0	1	0
241	34410	99999	0.08965	0.003448077	0.15	4	26	0	1	0
242	40497	99999	0.47458	0.018253077	0.15	4	26	0	1	0
243	34427	99999	0.25344	0.009747692	0.15	4	26	0	1	0
244	40502	99999	0.62676	0.024106154	0.15	4	26	0	1	0
245	7043	99999	0.40048	0.015403077	0.15	4	26	0	1	0
245	40501	99999	0.42202	0.016231538	0.15	4	26	0	1	0
246	40500	99999	0.25489	0.009803462	0.15	4	26	0	1	0
247	40501	99999	0.17532	0.006743077	0.15	4	26	0	1	0
248	40508	99999	0.22724	0.00874	0.15	4	26	0	1	0
249	40510	99999	0.16058	0.006176154	0.15	4	26	0	1	0
250	34515	99999	0.14028	0.005395385	0.15	4	26	0	1	0
251	34483	99999	0.2318	0.008915385	0.15	4	26	0	1	0
252	40499	99999	0.12505	0.004809615	0.15	4	26	0	1	0
253	34510	99999	0.25446	0.009786923	0.15	4	26	0	1	0
254	7141	99999	0.41041	0.015785	0.15	4	26	0	1	0
254	40502	99999	0.56514	0.021736154	0.15	4	26	0	1	0
255	40498	99999	0.23803	0.0095212	0.15	4	25	0	1	0
256	34421	99999	0.53489	0.0213956	0.15	4	25	0	1	0
257	7336	99999	0.25827	0.0103308	0.15	4	25	0	1	0
258	7615	99999	0.11229	0.0044916	0.15	4	25	0	1	0
258	34513	99999	0.28583	0.0114332	0.15	4	25	0	1	0
259	7621	99999	0.15197	0.0060788	0.15	4	25	0	1	0
260	34396	99999	0.26135	0.010454	0.15	4	25	0	1	0
261	31176	99999	0.2664	0.010656	0.15	4	25	0	1	0
262	7626	99999	0.09667	0.0038668	0.15	4	25	0	1	0
263	31581	99999	0.14375	0.00575	0.15	4	25	0	1	0
264	31176	99999	0.23274	0.0093096	0.15	4	25	0	1	0
265	7627	99999	0.09475	0.00379	0.15	4	25	0	1	0
266	7650	99999	0.02736	0.0010944	0.15	4	25	0	1	0
267	54366	99999	0.27018	0.0108072	0.15	4	25	0	1	0
